Epoch 1: Loss=0.5192, Test Accuracy=85.91%
Epoch 2: Loss=0.3391, Test Accuracy=86.98%
Epoch 3: Loss=0.2952, Test Accuracy=87.73%
Epoch 4: Loss=0.2697, Test Accuracy=87.81%
Epoch 5: Loss=0.2491, Test Accuracy=88.80%
Epoch 6: Loss=0.2301, Test Accuracy=88.54%
Epoch 7: Loss=0.2220, Test Accuracy=88.92%
Epoch 8: Loss=0.2052, Test Accuracy=89.30%
Epoch 9: Loss=0.1977, Test Accuracy=88.64%
Epoch 10: Loss=0.1917, Test Accuracy=89.60%
Epoch 11: Loss=0.1821, Test Accuracy=89.83%
Epoch 12: Loss=0.1752, Test Accuracy=88.36%
Epoch 13: Loss=0.1707, Test Accuracy=89.22%
Epoch 14: Loss=0.1661, Test Accuracy=89.51%
Epoch 15: Loss=0.1588, Test Accuracy=89.28%
Epoch 16: Loss=0.1547, Test Accuracy=90.38%
Epoch 17: Loss=0.1517, Test Accuracy=89.97%
Epoch 18: Loss=0.1483, Test Accuracy=88.71%
Epoch 19: Loss=0.1436, Test Accuracy=90.07%
Epoch 20: Loss=0.1416, Test Accuracy=89.86%
Epoch 21: Loss=0.1368, Test Accuracy=89.67%
Epoch 22: Loss=0.1355, Test Accuracy=89.47%
Epoch 23: Loss=0.1357, Test Accuracy=89.61%
Epoch 24: Loss=0.1323, Test Accuracy=89.32%
Epoch 25: Loss=0.1310, Test Accuracy=90.42%
Epoch 26: Loss=0.1240, Test Accuracy=89.61%
Epoch 27: Loss=0.1278, Test Accuracy=90.06%
Epoch 28: Loss=0.1235, Test Accuracy=90.06%
Epoch 29: Loss=0.1205, Test Accuracy=90.00%
Epoch 30: Loss=0.1213, Test Accuracy=88.37%
Epoch 31: Loss=0.1218, Test Accuracy=90.22%
Epoch 32: Loss=0.1168, Test Accuracy=90.18%
Epoch 33: Loss=0.1178, Test Accuracy=90.14%
Epoch 34: Loss=0.1150, Test Accuracy=88.75%
Epoch 35: Loss=0.1133, Test Accuracy=89.97%
Epoch 36: Loss=0.1150, Test Accuracy=89.13%
Epoch 37: Loss=0.1104, Test Accuracy=90.60%
Epoch 38: Loss=0.1159, Test Accuracy=88.52%
Epoch 39: Loss=0.1058, Test Accuracy=89.61%
Epoch 40: Loss=0.1105, Test Accuracy=90.08%
Epoch 41: Loss=0.1083, Test Accuracy=88.74%
Epoch 42: Loss=0.1072, Test Accuracy=90.17%
Epoch 43: Loss=0.1031, Test Accuracy=89.69%
Epoch 44: Loss=0.1026, Test Accuracy=90.05%
Epoch 45: Loss=0.1073, Test Accuracy=90.03%
Epoch 46: Loss=0.1024, Test Accuracy=89.46%
Epoch 47: Loss=0.1026, Test Accuracy=89.79%
Epoch 48: Loss=0.0996, Test Accuracy=89.40%
Epoch 49: Loss=0.1015, Test Accuracy=89.88%
Epoch 50: Loss=0.0941, Test Accuracy=89.70%
Epoch 51: Loss=0.0990, Test Accuracy=88.99%
