日志记录中: ./logs/train_log_20250516-093202.txt
Epoch 1: Loss=1.7715, Test Accuracy=42.89%
Epoch 2: Loss=1.4291, Test Accuracy=51.42%
Epoch 3: Loss=1.2088, Test Accuracy=56.29%
Epoch 4: Loss=1.0470, Test Accuracy=60.89%
Epoch 5: Loss=0.9071, Test Accuracy=64.05%
Epoch 6: Loss=0.8127, Test Accuracy=66.14%
Epoch 7: Loss=0.7171, Test Accuracy=65.05%
Epoch 8: Loss=0.6404, Test Accuracy=66.95%
Epoch 9: Loss=0.5726, Test Accuracy=68.66%
Epoch 10: Loss=0.5234, Test Accuracy=68.60%
Epoch 11: Loss=0.4690, Test Accuracy=69.05%
Epoch 12: Loss=0.4262, Test Accuracy=68.76%
Epoch 13: Loss=0.3885, Test Accuracy=68.96%
Epoch 14: Loss=0.3607, Test Accuracy=68.45%
Epoch 15: Loss=0.3362, Test Accuracy=69.64%
Epoch 16: Loss=0.3171, Test Accuracy=69.16%
Epoch 17: Loss=0.2982, Test Accuracy=69.29%
Epoch 18: Loss=0.2826, Test Accuracy=70.44%
Epoch 19: Loss=0.2682, Test Accuracy=69.46%
Epoch 20: Loss=0.2597, Test Accuracy=69.02%
Epoch 21: Loss=0.2477, Test Accuracy=69.05%
Epoch 22: Loss=0.2517, Test Accuracy=69.59%
Epoch 23: Loss=0.2361, Test Accuracy=67.62%
Epoch 24: Loss=0.2306, Test Accuracy=69.28%
Epoch 25: Loss=0.2328, Test Accuracy=69.47%
Epoch 26: Loss=0.2212, Test Accuracy=70.57%
Epoch 27: Loss=0.2243, Test Accuracy=69.35%
Epoch 28: Loss=0.2218, Test Accuracy=68.72%
Epoch 29: Loss=0.2230, Test Accuracy=70.27%
Epoch 30: Loss=0.2126, Test Accuracy=69.06%
Epoch 31: Loss=0.2149, Test Accuracy=69.60%
Epoch 32: Loss=0.2103, Test Accuracy=69.59%
Epoch 33: Loss=0.2171, Test Accuracy=70.03%
Epoch 34: Loss=0.2091, Test Accuracy=70.76%
Epoch 35: Loss=0.2051, Test Accuracy=69.89%
Epoch 36: Loss=0.2027, Test Accuracy=70.00%
Epoch 37: Loss=0.2029, Test Accuracy=70.07%
Epoch 38: Loss=0.2080, Test Accuracy=70.50%
Epoch 39: Loss=0.2023, Test Accuracy=69.80%
Epoch 40: Loss=0.1981, Test Accuracy=69.86%
Epoch 41: Loss=0.2070, Test Accuracy=70.60%
Epoch 42: Loss=0.2016, Test Accuracy=70.53%
Epoch 43: Loss=0.1947, Test Accuracy=69.19%
Epoch 44: Loss=0.2004, Test Accuracy=70.64%
Epoch 45: Loss=0.1956, Test Accuracy=70.50%
Epoch 46: Loss=0.1937, Test Accuracy=70.98%
Epoch 47: Loss=0.1847, Test Accuracy=70.61%
Epoch 48: Loss=0.1936, Test Accuracy=68.33%
Epoch 49: Loss=0.1925, Test Accuracy=69.74%
Epoch 50: Loss=0.1905, Test Accuracy=70.19%
Epoch 51: Loss=0.1943, Test Accuracy=70.21%
Epoch 52: Loss=0.1925, Test Accuracy=70.16%
Epoch 53: Loss=0.1948, Test Accuracy=70.35%
Epoch 54: Loss=0.2005, Test Accuracy=69.76%
Epoch 55: Loss=0.1880, Test Accuracy=69.89%
Epoch 56: Loss=0.1838, Test Accuracy=69.16%
Epoch 57: Loss=0.1950, Test Accuracy=71.01%
Epoch 58: Loss=0.1895, Test Accuracy=70.25%
Epoch 59: Loss=0.1875, Test Accuracy=70.56%
Epoch 60: Loss=0.1876, Test Accuracy=72.14%
Epoch 61: Loss=0.1794, Test Accuracy=68.94%
Epoch 62: Loss=0.1858, Test Accuracy=69.94%
Epoch 63: Loss=0.1819, Test Accuracy=70.43%
Epoch 64: Loss=0.1806, Test Accuracy=69.69%
Epoch 65: Loss=0.1778, Test Accuracy=70.56%
Epoch 66: Loss=0.1867, Test Accuracy=70.05%
Epoch 67: Loss=0.1918, Test Accuracy=70.50%
Epoch 68: Loss=0.1904, Test Accuracy=70.54%
Epoch 69: Loss=0.1837, Test Accuracy=71.17%
Epoch 70: Loss=0.1773, Test Accuracy=71.08%
Epoch 71: Loss=0.1733, Test Accuracy=69.90%
Epoch 72: Loss=0.1781, Test Accuracy=71.23%
Epoch 73: Loss=0.1815, Test Accuracy=70.31%
Epoch 74: Loss=0.1798, Test Accuracy=68.76%
Epoch 75: Loss=0.1876, Test Accuracy=70.79%
Epoch 76: Loss=0.1772, Test Accuracy=71.78%
Epoch 77: Loss=0.1822, Test Accuracy=69.21%
Epoch 78: Loss=0.1887, Test Accuracy=70.14%
Epoch 79: Loss=0.1801, Test Accuracy=69.52%
Epoch 80: Loss=0.1789, Test Accuracy=70.01%
Epoch 81: Loss=0.1837, Test Accuracy=70.55%
Epoch 82: Loss=0.1712, Test Accuracy=70.85%
Epoch 83: Loss=0.1733, Test Accuracy=70.87%
Epoch 84: Loss=0.1836, Test Accuracy=70.69%
Epoch 85: Loss=0.1787, Test Accuracy=71.67%
Epoch 86: Loss=0.1732, Test Accuracy=71.13%
Epoch 87: Loss=0.1770, Test Accuracy=70.34%
Epoch 88: Loss=0.1781, Test Accuracy=69.21%
Epoch 89: Loss=0.1710, Test Accuracy=70.73%
Epoch 90: Loss=0.1740, Test Accuracy=70.41%
Epoch 91: Loss=0.1769, Test Accuracy=71.42%
Epoch 92: Loss=0.1752, Test Accuracy=71.88%
Epoch 93: Loss=0.1714, Test Accuracy=71.04%
Epoch 94: Loss=0.1780, Test Accuracy=71.34%
Epoch 95: Loss=0.1738, Test Accuracy=69.81%
Epoch 96: Loss=0.1737, Test Accuracy=70.98%
Epoch 97: Loss=0.1636, Test Accuracy=71.30%
Epoch 98: Loss=0.1772, Test Accuracy=70.66%
Epoch 99: Loss=0.1727, Test Accuracy=70.78%
Epoch 100: Loss=0.1821, Test Accuracy=71.70%
Epoch 101: Loss=0.1745, Test Accuracy=69.72%
Epoch 102: Loss=0.1751, Test Accuracy=71.65%
Epoch 103: Loss=0.1749, Test Accuracy=71.81%
Epoch 104: Loss=0.1637, Test Accuracy=70.20%
Epoch 105: Loss=0.1773, Test Accuracy=72.22%
Epoch 106: Loss=0.1668, Test Accuracy=72.01%
Epoch 107: Loss=0.1747, Test Accuracy=71.11%
Epoch 108: Loss=0.1774, Test Accuracy=71.56%
Epoch 109: Loss=0.1608, Test Accuracy=71.16%
Epoch 110: Loss=0.1820, Test Accuracy=70.94%
Epoch 111: Loss=0.1698, Test Accuracy=71.57%
Epoch 112: Loss=0.1687, Test Accuracy=72.45%
Epoch 113: Loss=0.1659, Test Accuracy=71.11%
Epoch 114: Loss=0.1863, Test Accuracy=70.50%
Epoch 115: Loss=0.1727, Test Accuracy=70.70%
Epoch 116: Loss=0.1662, Test Accuracy=69.93%
Epoch 117: Loss=0.1785, Test Accuracy=70.81%
Epoch 118: Loss=0.1707, Test Accuracy=71.83%
Epoch 119: Loss=0.1657, Test Accuracy=70.25%
Epoch 120: Loss=0.1651, Test Accuracy=70.87%
Epoch 121: Loss=0.1643, Test Accuracy=71.85%
Epoch 122: Loss=0.1681, Test Accuracy=70.67%
Epoch 123: Loss=0.1780, Test Accuracy=71.13%
Epoch 124: Loss=0.1658, Test Accuracy=71.15%
Epoch 125: Loss=0.1667, Test Accuracy=70.18%
Epoch 126: Loss=0.1714, Test Accuracy=70.93%
Epoch 127: Loss=0.1748, Test Accuracy=71.34%
Epoch 128: Loss=0.1662, Test Accuracy=71.32%
Epoch 129: Loss=0.1680, Test Accuracy=71.14%
Epoch 130: Loss=0.1557, Test Accuracy=71.23%
Epoch 131: Loss=0.1800, Test Accuracy=71.49%
Epoch 132: Loss=0.1757, Test Accuracy=70.70%
Epoch 133: Loss=0.1669, Test Accuracy=71.09%
Epoch 134: Loss=0.1594, Test Accuracy=70.81%
Epoch 135: Loss=0.1707, Test Accuracy=71.13%
Epoch 136: Loss=0.1666, Test Accuracy=70.68%
Epoch 137: Loss=0.1684, Test Accuracy=69.28%
Epoch 138: Loss=0.1725, Test Accuracy=70.41%
Epoch 139: Loss=0.1708, Test Accuracy=71.10%
Epoch 140: Loss=0.1568, Test Accuracy=70.66%
Epoch 141: Loss=0.1771, Test Accuracy=70.81%
Epoch 142: Loss=0.1647, Test Accuracy=70.80%
Epoch 143: Loss=0.1700, Test Accuracy=71.25%
Epoch 144: Loss=0.1720, Test Accuracy=70.90%
Epoch 145: Loss=0.1692, Test Accuracy=70.67%
Epoch 146: Loss=0.1655, Test Accuracy=71.24%
Epoch 147: Loss=0.1725, Test Accuracy=70.82%
Epoch 148: Loss=0.1690, Test Accuracy=72.19%
Epoch 149: Loss=0.1640, Test Accuracy=71.25%
Epoch 150: Loss=0.1606, Test Accuracy=71.67%
Epoch 151: Loss=0.1652, Test Accuracy=71.08%
Epoch 152: Loss=0.1675, Test Accuracy=71.53%
Epoch 153: Loss=0.1645, Test Accuracy=72.00%
Epoch 154: Loss=0.1687, Test Accuracy=71.99%
Epoch 155: Loss=0.1578, Test Accuracy=70.39%
Epoch 156: Loss=0.1719, Test Accuracy=70.62%
Epoch 157: Loss=0.1667, Test Accuracy=70.32%
Epoch 158: Loss=0.1583, Test Accuracy=70.53%
Epoch 159: Loss=0.1631, Test Accuracy=69.96%
Epoch 160: Loss=0.1748, Test Accuracy=70.32%
Epoch 161: Loss=0.1610, Test Accuracy=70.33%
Epoch 162: Loss=0.1612, Test Accuracy=70.73%
Epoch 163: Loss=0.1691, Test Accuracy=70.28%
Epoch 164: Loss=0.1683, Test Accuracy=70.86%
Epoch 165: Loss=0.1616, Test Accuracy=70.00%
Epoch 166: Loss=0.1690, Test Accuracy=71.15%
Epoch 167: Loss=0.1698, Test Accuracy=71.61%
Epoch 168: Loss=0.1638, Test Accuracy=70.93%
Epoch 169: Loss=0.1623, Test Accuracy=70.72%
Epoch 170: Loss=0.1660, Test Accuracy=71.78%
Epoch 171: Loss=0.1674, Test Accuracy=70.55%
Epoch 172: Loss=0.1581, Test Accuracy=71.44%
Epoch 173: Loss=0.1579, Test Accuracy=70.71%
Epoch 174: Loss=0.1664, Test Accuracy=71.44%
Epoch 175: Loss=0.1620, Test Accuracy=70.94%
Epoch 176: Loss=0.1731, Test Accuracy=71.18%
Epoch 177: Loss=0.1579, Test Accuracy=71.59%
Epoch 178: Loss=0.1655, Test Accuracy=72.22%
Epoch 179: Loss=0.1649, Test Accuracy=70.51%
Epoch 180: Loss=0.1641, Test Accuracy=70.93%
Epoch 181: Loss=0.1661, Test Accuracy=70.28%
Epoch 182: Loss=0.1610, Test Accuracy=71.43%
Epoch 183: Loss=0.1656, Test Accuracy=71.50%
Epoch 184: Loss=0.1629, Test Accuracy=70.39%
Epoch 185: Loss=0.1636, Test Accuracy=71.72%
Epoch 186: Loss=0.1709, Test Accuracy=71.05%
Epoch 187: Loss=0.1682, Test Accuracy=71.61%
Epoch 188: Loss=0.1618, Test Accuracy=70.49%
Epoch 189: Loss=0.1618, Test Accuracy=71.44%
Epoch 190: Loss=0.1646, Test Accuracy=71.23%
Epoch 191: Loss=0.1595, Test Accuracy=69.85%
Epoch 192: Loss=0.1666, Test Accuracy=72.30%
Epoch 193: Loss=0.1716, Test Accuracy=71.73%
Epoch 194: Loss=0.1572, Test Accuracy=71.56%
Epoch 195: Loss=0.1621, Test Accuracy=71.45%
Epoch 196: Loss=0.1631, Test Accuracy=70.72%
Epoch 197: Loss=0.1587, Test Accuracy=71.78%
Epoch 198: Loss=0.1553, Test Accuracy=70.23%
Epoch 199: Loss=0.1604, Test Accuracy=71.31%
Epoch 200: Loss=0.1614, Test Accuracy=71.80%
Epoch 201: Loss=0.1619, Test Accuracy=70.82%
Epoch 202: Loss=0.1633, Test Accuracy=71.22%
Epoch 203: Loss=0.1652, Test Accuracy=70.60%
Epoch 204: Loss=0.1618, Test Accuracy=70.97%
Epoch 205: Loss=0.1577, Test Accuracy=71.93%
Epoch 206: Loss=0.1587, Test Accuracy=70.55%
Epoch 207: Loss=0.1590, Test Accuracy=72.01%
Epoch 208: Loss=0.1609, Test Accuracy=72.11%
Epoch 209: Loss=0.1563, Test Accuracy=71.36%
Epoch 210: Loss=0.1646, Test Accuracy=71.57%
Epoch 211: Loss=0.1651, Test Accuracy=70.57%
Epoch 212: Loss=0.1601, Test Accuracy=70.76%
Epoch 213: Loss=0.1641, Test Accuracy=70.85%
Epoch 214: Loss=0.1628, Test Accuracy=71.06%
Epoch 215: Loss=0.1683, Test Accuracy=71.87%
Epoch 216: Loss=0.1560, Test Accuracy=70.71%
Epoch 217: Loss=0.1622, Test Accuracy=71.83%
Epoch 218: Loss=0.1715, Test Accuracy=71.84%
Epoch 219: Loss=0.1575, Test Accuracy=70.39%
Epoch 220: Loss=0.1546, Test Accuracy=71.12%
Epoch 221: Loss=0.1556, Test Accuracy=69.45%
Epoch 222: Loss=0.1702, Test Accuracy=71.19%
Epoch 223: Loss=0.1554, Test Accuracy=71.51%
Epoch 224: Loss=0.1603, Test Accuracy=70.99%
Epoch 225: Loss=0.1589, Test Accuracy=71.10%
Epoch 226: Loss=0.1581, Test Accuracy=71.65%
Epoch 227: Loss=0.1661, Test Accuracy=72.42%
Epoch 228: Loss=0.1476, Test Accuracy=72.05%
Epoch 229: Loss=0.1656, Test Accuracy=69.46%
Epoch 230: Loss=0.1602, Test Accuracy=72.61%
Epoch 231: Loss=0.1532, Test Accuracy=71.47%
Epoch 232: Loss=0.1625, Test Accuracy=72.02%
Epoch 233: Loss=0.1579, Test Accuracy=71.09%
Epoch 234: Loss=0.1617, Test Accuracy=72.19%
Epoch 235: Loss=0.1545, Test Accuracy=71.69%
Epoch 236: Loss=0.1637, Test Accuracy=71.69%
Epoch 237: Loss=0.1558, Test Accuracy=71.31%
Epoch 238: Loss=0.1706, Test Accuracy=70.17%
Epoch 239: Loss=0.1602, Test Accuracy=71.95%
Epoch 240: Loss=0.1669, Test Accuracy=71.60%
Epoch 241: Loss=0.1524, Test Accuracy=70.88%
Epoch 242: Loss=0.1657, Test Accuracy=71.89%
Epoch 243: Loss=0.1535, Test Accuracy=72.52%
Epoch 244: Loss=0.1573, Test Accuracy=71.16%
Epoch 245: Loss=0.1594, Test Accuracy=71.04%
Epoch 246: Loss=0.1633, Test Accuracy=71.72%
Epoch 247: Loss=0.1589, Test Accuracy=70.90%
Epoch 248: Loss=0.1584, Test Accuracy=71.35%
Epoch 249: Loss=0.1585, Test Accuracy=70.56%
Epoch 250: Loss=0.1588, Test Accuracy=69.85%
Epoch 251: Loss=0.1572, Test Accuracy=71.43%
Epoch 252: Loss=0.1583, Test Accuracy=70.34%
Epoch 253: Loss=0.1532, Test Accuracy=70.96%
Epoch 254: Loss=0.1632, Test Accuracy=70.79%
Epoch 255: Loss=0.1560, Test Accuracy=72.71%
Epoch 256: Loss=0.1585, Test Accuracy=72.10%
Epoch 257: Loss=0.1577, Test Accuracy=71.89%
Epoch 258: Loss=0.1616, Test Accuracy=71.77%
Epoch 259: Loss=0.1589, Test Accuracy=70.06%
Epoch 260: Loss=0.1586, Test Accuracy=71.91%
Epoch 261: Loss=0.1486, Test Accuracy=71.37%
Epoch 262: Loss=0.1670, Test Accuracy=71.90%
Epoch 263: Loss=0.1575, Test Accuracy=71.74%
Epoch 264: Loss=0.1666, Test Accuracy=71.70%
Epoch 265: Loss=0.1584, Test Accuracy=71.40%
Epoch 266: Loss=0.1530, Test Accuracy=72.33%
Epoch 267: Loss=0.1574, Test Accuracy=72.50%
Epoch 268: Loss=0.1605, Test Accuracy=71.04%
Epoch 269: Loss=0.1565, Test Accuracy=70.22%
Epoch 270: Loss=0.1615, Test Accuracy=72.39%
Epoch 271: Loss=0.1572, Test Accuracy=70.15%
Epoch 272: Loss=0.1532, Test Accuracy=72.24%
Epoch 273: Loss=0.1571, Test Accuracy=71.31%
Epoch 274: Loss=0.1586, Test Accuracy=71.24%
Epoch 275: Loss=0.1562, Test Accuracy=69.43%
Epoch 276: Loss=0.1587, Test Accuracy=71.53%
Epoch 277: Loss=0.1647, Test Accuracy=70.58%
Epoch 278: Loss=0.1626, Test Accuracy=71.45%
Epoch 279: Loss=0.1499, Test Accuracy=70.82%
Epoch 280: Loss=0.1576, Test Accuracy=72.09%
Epoch 281: Loss=0.1608, Test Accuracy=71.43%
Epoch 282: Loss=0.1584, Test Accuracy=71.65%
Epoch 283: Loss=0.1557, Test Accuracy=71.49%
Epoch 284: Loss=0.1495, Test Accuracy=71.68%
Epoch 285: Loss=0.1614, Test Accuracy=71.30%
Epoch 286: Loss=0.1562, Test Accuracy=72.17%
Epoch 287: Loss=0.1602, Test Accuracy=71.39%
Epoch 288: Loss=0.1632, Test Accuracy=72.24%
Epoch 289: Loss=0.1532, Test Accuracy=71.36%
