epoch,learning_rate,total_loss,supervised_loss,ssl_loss,test_accuracy,is_best,threshold_used
1,0.03,1.6316414460157738,1.5696800855489879,0.06196136310951322,56.09,True,0.95
2,0.029999703912842055,1.0368926632098663,0.8743712209228777,0.16252144534363705,65.15,True,0.95
3,0.029998815663057243,0.8872864475617042,0.7275934176057832,0.15969303320361,73.92,True,0.95
4,0.029997335285712134,0.7972810204721924,0.6443217901083139,0.15295923482149076,76.23,True,0.95
5,0.029995262839249498,0.7486923089903644,0.6001771902426695,0.14851511645520854,76.31,True,0.95
6,0.029992598405485973,0.6639883620107275,0.529795285855603,0.13419307532728228,77.35,True,0.95
7,0.02998934208960884,0.6145570810533997,0.4804441296519377,0.13411295254770508,80.17,True,0.95
8,0.029985494020171873,0.5981963320165617,0.46718841956721413,0.13100791400951198,79.59,False,0.95
9,0.029981054349090264,0.5491537925524589,0.4213259011252314,0.12782788849793947,82.32,True,0.95
10,0.029976023251634627,0.5255151658486097,0.3920653250354987,0.13344984125887227,82.15,False,0.95
11,0.029970400926424074,0.5053433800100261,0.37515327353508043,0.1301901064749457,80.54,False,0.95
12,0.029964187595418378,0.49336539641914207,0.36893649170031917,0.12442890567402555,76.86,False,0.95
13,0.02995738350390921,0.4583041576238779,0.3345503807067871,0.12375377577084762,83.93,True,0.95
14,0.02994998892051045,0.432452303222102,0.30576216276639545,0.1266901404557065,84.34,True,0.95
15,0.02994200413714759,0.4255223760747502,0.3014010619849731,0.12412131163809034,83.77,False,0.95
16,0.029933429469046202,0.4210804839674224,0.3012178083642935,0.11986267655833155,82.65,False,0.95
17,0.029924265254719504,0.410613094512214,0.27894515455023855,0.1316679395798944,84.72,True,0.95
18,0.029914511855954982,0.3899015988040174,0.26311202016141677,0.12678958023460501,85.84,True,0.95
19,0.029904169657800125,0.36334792034238833,0.2365263614516992,0.12682156022797283,84.47,False,0.95
20,0.0298932390685472,0.36788409693628293,0.2337467050832561,0.13413739376343214,85.78,False,0.95
21,0.02988172051971717,0.3693352531418841,0.24189738104613417,0.12743787117238736,86.49,True,0.95
22,0.0298696144660426,0.34147328877041483,0.2109737413433882,0.13049954659918434,86.0,False,0.95
23,0.029856921385449767,0.3357734802441719,0.199921166508371,0.13585231338555998,86.77,True,0.95
24,0.029843641779039764,0.33434329468470353,0.20256411067695698,0.13177918426246724,87.19,True,0.95
25,0.02982977617106871,0.32648282924778443,0.19656393606948036,0.12991889107685822,88.16,True,0.95
26,0.02981532510892707,0.3417814623596322,0.19907920519447225,0.14270225689451918,86.77,False,0.95
27,0.029800289163118023,0.31148575997760153,0.17425313002915463,0.13723262959820592,86.91,False,0.95
28,0.029784668927234977,0.3090266371384645,0.17217867015900776,0.13684796783913913,84.9,False,0.95
29,0.029768465017938086,0.30937109594671136,0.17765946899596444,0.13171162800146982,85.69,False,0.95
30,0.02975167807492995,0.30801682696383226,0.17480016179764882,0.13321666470450214,87.88,False,0.95
31,0.029734308760930337,0.29840787519247103,0.1649158934895427,0.13349198148800775,86.99,False,0.95
32,0.029716357761650016,0.2956911795414411,0.15457826101372385,0.1411129186550776,87.07,False,0.95
33,0.02969782578576371,0.28464370290947777,0.14954135423669448,0.13510234774942073,87.52,False,0.95
34,0.02967871356488209,0.2706109927250789,0.1382966698744358,0.132314322468562,87.06,False,0.95
35,0.029659021853522913,0.2837270688042681,0.15143774021576104,0.1322893285089069,88.24,True,0.95
36,0.02963875142908122,0.27078943565869945,0.13929599662048694,0.13149343972277439,87.33,False,0.95
37,0.029617903091798667,0.259738684974165,0.12732893594691896,0.13240975026900953,88.23,False,0.95
38,0.029596477664731908,0.2557631853299263,0.12153813913942148,0.1342250470422272,89.21,True,0.95
39,0.02957447599372012,0.26754629713857275,0.1336270334979153,0.133919263115296,87.0,False,0.95
40,0.029551898947351597,0.27605158001439184,0.13891320099305904,0.13713837803429008,87.6,False,0.95
41,0.029528747416929475,0.2649561449503287,0.1290858790087394,0.13587026559134835,87.07,False,0.95
42,0.029505022316436536,0.2607689150887677,0.12661281997003618,0.13415609701321676,88.69,False,0.95
43,0.029480724582499115,0.24491548060606688,0.11178825456553544,0.13312722608829156,86.6,False,0.95
44,0.029455855174350155,0.26060211925934523,0.11789645565052827,0.14270566378393743,87.68,False,0.95
45,0.029430415073791297,0.2756926911508935,0.13890538622553533,0.13678730527559915,88.81,False,0.95
46,0.029404405285154155,0.24443652015975398,0.11196104228560232,0.13247547808111224,88.55,False,0.95
47,0.029377826835260648,0.24104351098211402,0.10957961734065898,0.13146389205741066,89.42,True,0.95
48,0.02935068077338247,0.22792167343899736,0.09397348541861926,0.1339481872243759,88.73,False,0.95
49,0.029322968171199656,0.23515115933031097,0.0999406590564256,0.13521050088680708,87.74,False,0.95
50,0.029294690122758295,0.2587789367152076,0.12447736947200237,0.13430156737056553,88.15,False,0.95
51,0.029265847744427316,0.24955025646421644,0.10750711351059951,0.1420431431924176,88.77,False,0.95
52,0.029236442174854427,0.25110982613176364,0.11616264519273725,0.13494718049326512,87.32,False,0.95
53,0.02920647457492117,0.2554338375727336,0.12014209433721426,0.1352917415718747,88.43,False,0.95
54,0.02917594612769708,0.23208114772270888,0.10251247368625596,0.12956867488021526,87.0,False,0.95
55,0.029144858038392975,0.24119726167275354,0.10525668583587448,0.13594057608363974,87.76,False,0.95
56,0.029113211534313392,0.22117412905407768,0.09241769516952017,0.12875643372535706,88.62,False,0.95
57,0.02908100786480812,0.22633071625844026,0.09451153163567312,0.13181918528344896,88.11,False,0.95
58,0.029048248301222896,0.21730406435891095,0.0907315878619432,0.12657247725714985,89.3,False,0.95
59,0.02901493413684919,0.21839056819932073,0.08533070482409154,0.13305986405183107,89.3,False,0.95
60,0.02898106668687317,0.23415578048453373,0.09848607363354446,0.13566970634154785,88.32,False,0.95
61,0.028946647288323777,0.2268940889173084,0.09638263449136518,0.1305114546010637,90.05,True,0.95
62,0.028911677300019926,0.2322416792058537,0.10435304556710598,0.12788863371834797,89.77,False,0.95
63,0.028876158102516876,0.22612473126660046,0.09208526971757922,0.13403946148534107,89.09,False,0.95
64,0.028840091098051728,0.2088790681754422,0.07836019644975407,0.13051887155852765,88.97,False,0.95
65,0.02880347771048806,0.20284608089261585,0.07070931843999359,0.13213676118697876,89.5,False,0.95
66,0.028766319385259722,0.22475683867421925,0.09358584287807219,0.13117099648866898,88.34,False,0.95
67,0.02872861758931377,0.22528772654696408,0.09905569057943475,0.12623203513968703,88.32,False,0.95
68,0.02869037381105255,0.22386905423596373,0.09095860609752882,0.13291044851653597,89.68,False,0.95
69,0.028651589560274943,0.19907875817555648,0.06475493272081909,0.13432382537513718,89.76,False,0.95
70,0.028612266368116764,0.18848341977239674,0.06099161844796095,0.12749180191347742,89.73,False,0.95
71,0.028572405786990305,0.22358848880498838,0.09513808283795658,0.12845040609439215,88.89,False,0.95
