epoch,train_loss,overall_acc,avg_cand_all,avg_cand_labeled,avg_cand_unlabeled,class_0_acc,class_1_acc,class_2_acc,class_3_acc,class_4_acc,class_5_acc,class_6_acc,class_7_acc,class_8_acc,class_9_acc,prior_0,prior_1,prior_2,prior_3,prior_4,prior_5,prior_6,prior_7,prior_8,prior_9
1,2.2993358866921785,10.0,0.05000000074505806,3.0,0.0,0.1,0.0,0.0,0.0,99.9,0.0,0.0,0.0,0.0,0.0,0.12720808386802673,0.08136904984712601,0.08279300481081009,0.09406540542840958,0.14640189707279205,0.09670988470315933,0.13037601113319397,0.06957435607910156,0.09374407678842545,0.07775801420211792
2,2.240551610013623,10.0,0.05000000074505806,3.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.15112143754959106,0.043808355927467346,0.045435041189193726,0.06959663331508636,0.2494591623544693,0.10976039618253708,0.18887250125408173,0.03087056428194046,0.07327450066804886,0.037801116704940796
3,2.0997245602118664,10.0,0.05000000074505806,3.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.1600409299135208,0.010335748083889484,0.012695705518126488,0.08898629993200302,0.2708647847175598,0.21194955706596375,0.19940133392810822,0.006208125036209822,0.03138396888971329,0.008133284747600555
4,1.9789389931950077,10.0,0.05000000074505806,3.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.21185843646526337,0.0031063109636306763,0.005773751996457577,0.12569907307624817,0.1901034265756607,0.1774274855852127,0.2614363133907318,0.001988220028579235,0.020026391372084618,0.0025803521275520325
5,1.9648455018582551,10.0,4.9666666984558105,3.0,5.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.1737184375524521,0.001990786287933588,0.006351590156555176,0.18237321078777313,0.20474256575107574,0.17503111064434052,0.2200215607881546,0.0012389799812808633,0.032880742102861404,0.001650710590183735
6,0.38952429817712053,10.0,6.251399993896484,3.0,6.306508541107178,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.00015599661855958402,1.4839031337032793e-06,1.1625728802755475e-05,0.00045150055666454136,0.00020228896755725145,0.9983890056610107,0.0007148297736421227,8.675879712427559e-07,7.089203427312896e-05,1.2135783435951453e-06
7,0.10894654628602748,10.0,7.950516700744629,3.0,8.034423828125,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.00018836949311662465,1.8511656207920169e-06,1.4278713933890685e-05,0.000461619405541569,0.00026031260495074093,0.9983388185501099,0.0006404925952665508,1.0911185199802276e-06,9.152614802587777e-05,1.5157924053710303e-06
8,0.1081373269055435,10.0,8.452850341796875,3.0,8.545270919799805,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.00021104772167745978,2.098510776704643e-06,1.6157340724021196e-05,0.00045762641821056604,0.0003055123961530626,0.9983160495758057,0.000584697350859642,1.2422652844179538e-06,0.00010368174116592854,1.7181743032779195e-06
9,0.10877902052820997,10.0,8.726166725158691,3.0,8.823220252990723,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.00022021961922291666,2.21736149796925e-06,1.7229918739758432e-05,0.00043365993769839406,0.0003367713652551174,0.9983316659927368,0.0005443707923404872,1.319181365033728e-06,0.0001105272676795721,1.816918256736244e-06
10,0.10802339329681498,10.0,8.844182968139648,3.0,8.9432373046875,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0001776576682459563,1.6589209508310887e-06,1.365404295938788e-05,0.00033093837555497885,0.000279282103292644,0.998712956905365,0.00039125498733483255,9.889137118079816e-07,9.003394370665774e-05,1.3601070349977817e-06
